scenario,method,spearman,kendall,rmse,ari_three_state
S1_baseline,Slingshot,0.9965721518467853,0.9487605903099512,0.05482050815273628,0.8705304553262868
S1_baseline,Monocle3,0.9837359500819648,0.8924546030261611,0.09178103451653709,0.8393321772641067
S1_baseline,TSCAN,0.9961859842933658,0.9456124023325856,0.03041650707558483,0.8342482892054459
S2_low_depth,Slingshot,0.9927206762776029,0.926421828542058,0.10982790588886293,0.7892999347339994
S2_low_depth,Monocle3,0.9528179810757617,0.825243035390685,0.09325285928353458,0.7620107487917822
S2_low_depth,TSCAN,0.9928374594150841,0.9263002762154137,0.03751901562271905,0.7963363005499327
S3_imbalanced_middle,Slingshot,0.9939128382218579,0.9332242700254697,0.06261306102738654,0.8473634259201822
S3_imbalanced_middle,Monocle3,0.8437455186492542,0.6662306186762975,0.14639027663120704,0.4449188478048142
S3_imbalanced_middle,TSCAN,0.9930360254347851,0.9276420480895404,0.0787041958929919,0.8542063701740527
